iter	Passed	Remaining
0	140	140184
1	141	70455
2	142	47246
3	143	35835
4	145	28857
5	145	24142
6	147	20941
7	149	18498
8	150	16526
9	151	14968
10	153	13775
11	155	12765
12	155	11834
13	156	11014
14	157	10337
15	158	9720
16	158	9184
17	159	8709
18	160	8277
19	161	7893
20	161	7545
21	162	7222
22	163	6930
23	163	6661
24	164	6416
25	165	6184
26	165	5972
27	167	5806
28	167	5618
29	168	5442
30	168	5277
31	169	5124
32	169	4978
33	170	4841
34	170	4712
35	171	4590
36	171	4475
37	172	4367
38	173	4265
39	173	4166
40	174	4072
41	174	3982
42	175	3897
43	175	3815
44	176	3737
45	176	3661
46	177	3589
47	177	3519
48	177	3453
49	178	3389
50	178	3328
51	179	3269
52	179	3212
53	180	3157
54	180	3106
55	181	3058
56	181	3010
57	182	2963
58	182	2917
59	183	2873
60	183	2830
61	184	2789
62	184	2748
63	185	2709
64	185	2671
65	186	2634
66	186	2598
67	187	2563
68	187	2530
69	188	2497
70	188	2466
71	188	2435
72	189	2405
73	189	2376
74	190	2347
75	190	2319
76	191	2292
77	191	2266
78	192	2241
79	192	2216
80	193	2191
81	193	2167
82	193	2141
83	194	2118
84	194	2096
85	195	2077
86	196	2063
87	197	2043
88	197	2023
89	198	2002
90	198	1983
91	199	1964
92	199	1945
93	199	1926
94	200	1909
95	201	1892
96	201	1875
97	201	1858
98	202	1842
99	202	1826
100	203	1811
101	204	1796
102	204	1781
103	204	1766
104	205	1751
105	205	1736
106	206	1722
107	206	1708
108	207	1694
109	207	1680
110	208	1667
111	208	1654
112	209	1641
113	209	1628
114	210	1616
115	210	1604
116	210	1591
117	211	1580
118	212	1569
119	212	1558
120	213	1548
121	213	1536
122	214	1525
123	214	1515
124	215	1505
125	215	1495
126	215	1484
127	216	1474
128	216	1464
129	217	1455
130	217	1446
131	218	1436
132	219	1427
133	219	1418
134	219	1409
135	220	1400
136	220	1391
137	221	1382
138	221	1374
139	222	1365
140	222	1357
141	223	1347
142	223	1339
143	223	1331
144	224	1323
145	224	1315
146	225	1307
147	225	1300
148	226	1293
149	226	1286
150	227	1278
151	227	1271
152	228	1263
153	228	1256
154	229	1249
155	229	1242
156	230	1235
157	230	1228
158	231	1221
159	231	1215
160	231	1207
161	232	1201
162	232	1195
163	233	1189
164	233	1183
165	234	1177
166	234	1171
167	235	1165
168	235	1159
169	236	1153
170	236	1147
171	237	1142
172	237	1136
173	238	1130
174	238	1125
175	239	1119
176	239	1113
177	240	1108
178	240	1104
179	241	1099
180	241	1094
181	242	1090
182	243	1085
183	243	1080
184	244	1075
185	244	1070
186	245	1065
187	245	1060
188	246	1056
189	246	1051
190	247	1047
191	247	1043
192	248	1038
193	248	1033
194	249	1029
195	249	1024
196	250	1020
197	250	1015
198	251	1011
199	251	1006
200	252	1002
201	252	997
202	252	993
203	253	988
204	253	984
205	254	980
206	254	976
207	255	972
208	256	971
209	257	967
210	257	963
211	258	959
212	258	955
213	259	951
214	259	948
215	260	944
216	260	940
217	261	936
218	261	933
219	262	929
220	262	926
221	263	923
222	263	919
223	264	915
224	264	912
225	265	908
226	265	905
227	266	902
228	266	898
229	267	895
230	267	891
231	268	888
232	268	884
233	269	881
234	269	877
235	270	874
236	270	871
237	271	868
238	271	865
239	272	862
240	272	859
241	273	856
242	273	853
243	274	850
244	274	846
245	275	844
246	275	841
247	276	838
248	276	835
249	277	832
250	277	829
251	278	826
252	279	823
253	279	821
254	280	818
255	280	815
256	280	812
257	281	809
258	281	806
259	282	803
260	282	800
261	283	797
262	283	794
263	284	792
264	284	789
265	285	786
266	285	784
267	287	786
268	288	783
269	288	781
270	289	778
271	289	776
272	290	773
273	291	771
274	291	768
275	292	766
276	292	763
277	293	761
278	293	758
279	294	756
280	294	753
281	295	751
282	295	749
283	296	746
284	296	744
285	297	741
286	297	739
287	298	737
288	298	734
289	299	732
290	299	729
291	300	727
292	300	725
293	301	723
294	301	721
295	302	719
296	302	717
297	303	714
298	303	712
299	304	710
300	304	708
301	305	706
302	306	704
303	306	701
304	307	699
305	307	697
306	308	695
307	308	693
308	309	691
309	309	689
310	310	687
311	310	684
312	311	682
313	311	680
314	311	678
315	312	676
316	312	674
317	313	672
318	313	669
319	314	667
320	314	665
321	315	663
322	315	661
323	316	660
324	316	658
325	317	656
326	318	654
327	318	652
328	319	650
329	319	648
330	320	646
331	320	645
332	321	643
333	321	641
334	322	639
335	322	637
336	323	636
337	323	634
338	324	632
339	324	630
340	325	628
341	325	626
342	326	625
343	326	623
344	327	621
345	327	619
346	328	617
347	328	615
348	329	613
349	329	611
350	329	609
351	330	608
352	330	606
353	331	604
354	331	602
355	332	601
356	332	599
357	333	597
358	334	596
359	334	594
360	334	592
361	335	591
362	335	589
363	336	587
364	336	586
365	337	584
366	337	582
367	338	580
368	338	579
369	339	577
370	339	575
371	340	574
372	340	572
373	341	571
374	341	569
375	342	568
376	342	566
377	343	564
378	343	563
379	344	561
380	344	560
381	345	558
382	345	557
383	346	555
384	346	554
385	347	552
386	347	551
387	348	549
388	348	548
389	349	546
390	349	545
391	350	543
392	351	542
393	351	540
394	352	539
395	352	537
396	352	536
397	353	534
398	353	533
399	354	531
400	354	530
401	355	528
402	355	527
403	356	525
404	356	523
405	357	522
406	357	521
407	358	519
408	358	518
409	358	516
410	359	515
411	359	513
412	360	512
413	360	510
414	361	509
415	362	508
416	362	506
417	363	505
418	363	504
419	364	502
420	364	501
421	365	500
422	365	498
423	366	497
424	366	496
425	367	494
426	367	493
427	368	492
428	368	490
429	369	489
430	369	487
431	369	486
432	370	485
433	370	483
434	371	482
435	372	481
436	372	480
437	373	478
438	373	477
439	374	476
440	374	475
441	375	473
442	375	472
443	378	473
444	378	472
445	379	471
446	379	469
447	380	468
448	380	467
449	381	466
450	381	464
451	382	463
452	382	462
453	383	461
454	383	459
455	384	458
456	385	457
457	385	456
458	386	454
459	386	453
460	387	452
461	387	451
462	387	449
463	388	448
464	388	447
465	389	446
466	389	444
467	390	443
468	390	442
469	391	441
470	392	440
471	392	439
472	393	438
473	393	436
474	394	435
475	394	434
476	395	433
477	395	431
478	395	430
479	396	429
480	396	428
481	397	427
482	397	425
483	398	424
484	398	423
485	399	422
486	399	421
487	400	419
488	400	418
489	401	417
490	401	416
491	402	415
492	402	414
493	403	412
494	403	411
495	404	410
496	404	409
497	405	408
498	405	407
499	406	406
500	407	405
501	407	404
502	408	403
503	408	402
504	409	401
505	410	400
506	410	399
507	411	398
508	411	397
509	412	396
510	412	394
511	413	393
512	413	392
513	414	391
514	414	390
515	415	389
516	415	388
517	416	387
518	416	386
519	417	385
520	417	384
521	418	382
522	418	381
523	419	380
524	419	379
525	420	378
526	420	377
527	421	376
528	421	375
529	422	374
530	423	373
531	423	372
532	424	371
533	424	370
534	425	369
535	425	368
536	426	367
537	426	366
538	427	365
539	428	364
540	428	363
541	429	362
542	429	361
543	430	360
544	430	359
545	430	358
546	431	357
547	431	356
548	432	355
549	432	354
550	433	352
551	433	351
552	434	350
553	434	349
554	435	348
555	435	347
556	435	346
557	437	346
558	437	345
559	438	344
560	438	343
561	439	342
562	439	341
563	440	340
564	440	339
565	441	338
566	441	337
567	442	336
568	442	335
569	443	334
570	443	333
571	444	332
572	444	331
573	445	330
574	445	329
575	446	328
576	446	327
577	447	326
578	447	325
579	447	324
580	448	323
581	448	322
582	449	321
583	449	320
584	450	319
585	450	318
586	451	317
587	451	316
588	452	315
589	452	314
590	453	313
591	453	312
592	454	311
593	454	310
594	455	310
595	456	309
596	456	308
597	457	307
598	457	306
599	458	305
600	458	304
601	458	303
602	459	302
603	459	301
604	460	300
605	460	299
606	461	298
607	461	297
608	462	296
609	462	295
610	463	294
611	463	293
612	463	292
613	464	291
614	464	291
615	465	290
616	465	289
617	466	288
618	466	287
619	467	286
620	467	285
621	468	284
622	468	283
623	469	282
624	469	281
625	470	281
626	470	280
627	471	279
628	471	278
629	472	277
630	473	276
631	473	275
632	474	274
633	474	274
634	475	273
635	475	272
636	476	271
637	476	270
638	477	269
639	477	268
640	478	267
641	478	266
642	478	265
643	479	265
644	479	264
645	480	263
646	480	262
647	481	261
648	481	260
649	482	259
650	482	258
